Date,Temp
2018-01-01,7
2018-01-02,9
2018-01-03,10
2018-01-04,14
2018-01-05,5
2018-01-06,5
2018-01-07,7
2018-01-08,33
2018-01-09,31
2018-01-10,32
2018-01-11,54
2018-01-12,45
2018-01-13,19
2018-01-14,13
2018-01-15,16
2018-01-16,19
2018-01-17,9
2018-01-18,18
2018-01-19,28
2018-01-20,37
2018-01-21,40
2018-01-22,48
2018-01-23,44
2018-01-24,30
2018-01-25,27
2018-01-26,37
2018-01-27,47
2018-01-28,37
2018-01-29,33
2018-01-30,21
2018-01-31,25
2018-02-01,39
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
